ExperimentID,CC,CD,DC,DD
experiment_UnconditionalCooperator_SARSAgent,52.5,47.5,0,0
experiment_UnconditionalCooperator_TDLearningAgent,48.5,51.5,0,0
experiment_UnconditionalCooperator_TDGammaAgent,50.0,50.0,0,0
experiment_UnconditionalCooperator_QLearningAgent,49.0,51.0,0,0
experiment_UnconditionalDefector_SARSAgent,0,0,52.5,47.5
experiment_UnconditionalDefector_TDLearningAgent,0,0,52.0,48.0
experiment_UnconditionalDefector_TDGammaAgent,0,0,47.0,53.0
experiment_UnconditionalDefector_QLearningAgent,0,0,49.5,50.5
experiment_RandomAgent_SARSAgent,17.0,31.5,24.0,27.500000000000004
experiment_RandomAgent_TDLearningAgent,33.5,17.5,25.5,23.5
experiment_RandomAgent_TDGammaAgent,24.0,20.0,26.5,29.5
experiment_RandomAgent_QLearningAgent,27.500000000000004,23.0,26.0,23.5
experiment_Probability25Cooperator_SARSAgent,11.5,16.0,37.5,35.0
experiment_Probability25Cooperator_TDLearningAgent,13.0,14.000000000000002,35.0,38.0
experiment_Probability25Cooperator_TDGammaAgent,11.5,13.0,42.0,33.5
experiment_Probability25Cooperator_QLearningAgent,13.0,13.5,38.0,35.5
experiment_Probability50Cooperator_SARSAgent,30.0,21.0,26.5,22.5
experiment_Probability50Cooperator_TDLearningAgent,25.5,21.5,26.5,26.5
experiment_Probability50Cooperator_TDGammaAgent,25.0,23.5,24.0,27.500000000000004
experiment_Probability50Cooperator_QLearningAgent,21.5,26.5,31.5,20.5
experiment_Probability75Cooperator_SARSAgent,37.5,39.5,12.0,11.0
experiment_Probability75Cooperator_TDLearningAgent,33.0,37.0,14.000000000000002,16.0
experiment_Probability75Cooperator_TDGammaAgent,33.5,41.5,14.000000000000002,11.0
experiment_Probability75Cooperator_QLearningAgent,36.5,35.0,13.0,15.5
experiment_TitForTat_SARSAgent,27.500000000000004,24.0,24.5,23.5
experiment_TitForTat_TDLearningAgent,30.0,22.5,22.5,24.5
experiment_TitForTat_TDGammaAgent,22.5,23.0,23.0,31.0
experiment_TitForTat_QLearningAgent,25.0,26.5,26.5,21.5
experiment_SuspiciousTitForTat_SARSAgent,24.0,26.5,26.5,22.5
experiment_SuspiciousTitForTat_TDLearningAgent,21.5,25.5,26.0,26.5
experiment_SuspiciousTitForTat_TDGammaAgent,21.0,24.5,25.0,28.999999999999996
experiment_SuspiciousTitForTat_QLearningAgent,25.0,21.5,21.5,31.5
experiment_GenerousTitForTat_SARSAgent,34.5,33.0,20.0,12.5
experiment_GenerousTitForTat_TDLearningAgent,33.0,36.0,17.0,14.000000000000002
experiment_GenerousTitForTat_TDGammaAgent,36.0,32.0,18.0,14.000000000000002
experiment_GenerousTitForTat_QLearningAgent,34.0,35.5,15.5,15.0
experiment_Pavlov_SARSAgent,0,0,0,0
experiment_Pavlov_TDLearningAgent,0,0,0,0
experiment_Pavlov_TDGammaAgent,0,0,0,0
experiment_Pavlov_QLearningAgent,0,0,0,0
experiment_GRIM_SARSAgent,1.0,0.5,53.5,45.0
experiment_GRIM_TDLearningAgent,0,0.5,49.5,50.0
experiment_GRIM_TDGammaAgent,0,0.5,46.5,53.0
experiment_GRIM_QLearningAgent,0,0.5,44.5,55.00000000000001
