ExperimentID,CC,CD,DC,DD
experiment_DQNAgent_SARSAgent,26.5,24.5,24.0,25.0
experiment_DQNAgent_SARSAgent,25.0,23.5,27.500000000000004,24.0
experiment_DQNAgent_SARSAgent,25.5,25.0,27.500000000000004,22.0
experiment_DQNAgent_SARSAgent,28.999999999999996,22.5,24.0,24.5
experiment_DQNAgent_SARSAgent,25.0,23.0,21.5,30.5
experiment_DQNAgent_SARSAgent,25.0,25.0,20.0,30.0
experiment_DQNAgent_SARSAgent,19.5,27.500000000000004,27.500000000000004,25.5
experiment_DQNAgent_SARSAgent,28.999999999999996,23.0,25.5,22.5
experiment_DQNAgent_SARSAgent,25.5,21.5,27.500000000000004,25.5
experiment_DQNAgent_SARSAgent,23.5,31.0,23.5,22.0
experiment_DQNAgent_DQNAgent,29.5,21.5,28.999999999999996,20.0
experiment_DQNAgent_DQNAgent,0,0,0,0
experiment_DQNAgent_DQNAgent,0,0,0,0
experiment_DQNAgent_DQNAgent,0,100.0,0,0
experiment_DQNAgent_DQNAgent,0,0,100.0,0
experiment_DQNAgent_DQNAgent,100.0,0,0,0
experiment_DQNAgent_DQNAgent,0,100.0,0,0
experiment_DQNAgent_DQNAgent,100.0,0,0,0
experiment_DQNAgent_DQNAgent,0,0,100.0,0
experiment_DQNAgent_DQNAgent,100.0,0,0,0
experiment_DQNAgent_DQNAgent,22.0,25.0,21.5,31.5
experiment_DQNAgent_DQNAgent,17.0,21.5,24.5,37.0
experiment_DQNAgent_DQNAgent,13.0,26.0,28.499999999999996,32.5
experiment_DQNAgent_DQNAgent,18.5,28.000000000000004,27.0,26.5
experiment_DQNAgent_DQNAgent,13.0,24.5,24.0,38.5
experiment_SARSAgent_TDLearningAgent,18.0,13.5,37.5,31.0
experiment_SARSAgent_DQNAgent,13.0,11.5,35.0,40.5
experiment_SARSAgent_DQNAgent,16.5,28.000000000000004,22.0,33.5
experiment_SARSAgent_DQNAgent,16.5,42.5,15.0,26.0
experiment_SARSAgent_REINFORCEAgent,25.0,27.0,23.5,24.5
experiment_SARSAgent_REINFORCEAgent,23.5,28.499999999999996,30.5,17.5
experiment_SARSAgent_ActorCriticAgent,4.5,51.5,7.000000000000001,37.0
